字彙	詞類	中文	註解	級數	學術字彙
twinkle	verb/noun	閃爍；閃亮		Intermediate	
twist	verb/noun	彎曲、扭轉、轉彎		Intermediate	
two	number/pron./noun/adj.	二		Elementary	
two-thirds	noun/pron./adj./adv.	三分之二	= two thirds	High-Intermediate	
type 	verb	打字		Elementary	
type 	noun	類型		Elementary	
typewriter	noun	打字機		Intermediate	
typhoon	noun	颱風		Elementary	
typical	adj.	典型的		Intermediate	
typically	adv.	通常、典型地、不出所料		High-Intermediate	
typist	noun	打字員		Intermediate	
tyranny	noun	暴虐、暴政		High-Intermediate	
tyrant	noun	暴君、君主專制		High-Intermediate	
ugly	adj.	醜陋的		Elementary	
ulcer	noun	潰瘍		High-Intermediate	
ultimate	adj./noun	最後的、極端的、基本的；極品、最終的事物、終極、極限		High-Intermediate	L7
ultimately	adv.	最終、終究、最基本地		High-Intermediate	L7
ultraviolet	adj.	紫外線的		High-Intermediate	
umbrella	noun	雨傘		Elementary	
umpire	noun/verb	裁判員；當裁判、裁決		High-Intermediate	
unacceptable	adj.	不能接受的、無法同意的		High-Intermediate	
unanimous	adj.	意見一致的、一致同意的		High-Intermediate	
unbeaten	adj.	未嘗敗績的		High-Intermediate	
uncertainty	noun	不確定性		High-Intermediate	
unchanged	adj.	無變化的、未改變的		High-Intermediate	
uncle	noun	叔叔		Elementary	
unconditional	adj.	無條件的、絕對的		High-Intermediate	
uncover	verb	揭開蓋子、揭露、揭發		High-Intermediate	
under	prep./adv.	在…下、低於；在下面		Elementary	
underestimate	verb	低估、輕視		High-Intermediate	
undergo	verb	經歷、遭受		High-Intermediate	L10
undergraduate	noun	大學生		High-Intermediate	
underground	adj./adv./noun	地下的、暗中的；在地下；地鐵		Intermediate	
underlie	verb	構成的基礎、作為的原因		High-Intermediate	L6
underline	verb	在…下面畫線、強調		Elementary	
underlying	adj.	根本的、潛在的		High-Intermediate	
undermine	verb	逐漸削弱、破壞		High-Intermediate	
underneath	prep./adv./adj./noun	在…之下；在下方；下面的；底部		High-Intermediate	
underpass	noun	地下道		Elementary	
understand	verb	懂、 了解		Elementary	
understandable	adj.	合情理的、易懂的		High-Intermediate	
understanding	noun/adj.	理解；體諒的		Intermediate	
undertake	verb	承擔、從事		Intermediate	L4
underwater	adv./adj.	在水下；水下的		Intermediate	
underway	adj.	已開始的、在進行中的		High-Intermediate	
underwear	noun	內衣		Elementary	
underweight	adj.	體重不足的		Intermediate	
underwrite	verb	承擔經濟責任、承保		High-Intermediate	
undo	verb	拆開、消除、打敗		High-Intermediate	
undoubted	adj.	無疑的、確實的		High-Intermediate	
uneasy	adj.	不安的、不自在的、拘束的		High-Intermediate	
unemployed	adj./noun	失業的、待業的；失業者		High-Intermediate	
unemployment	noun	失業、失業人數		High-Intermediate	
unexpected	adj.	出乎意料的		Intermediate	
unfold	verb	展開、透露		High-Intermediate	
unidentified	adj.	未知的、不明的		High-Intermediate	
unification	noun	統一、單一化		High-Intermediate	L9
uniform	noun/adj.	制服；一致的		Elementary	L8
unify	verb	統一、使成一體		High-Intermediate	L9
union	noun	合併、和諧、工會		Intermediate	
unique	adj.	獨特的		Elementary	L7
unit	noun	單位		Elementary	
unite	verb	聯合、團結、統一		Intermediate	
unity	noun	團結一致、聯合		Intermediate	
universal	adj./noun	普遍的、全體的；普通性、普遍現象		Intermediate	
universe	noun	宇宙		Elementary	
university	noun	大學		Elementary	
unknown	adj.	未知的、無名的		Intermediate	
unleash	verb	鬆開(狗)的皮帶、發洩(情感)、使爆發		High-Intermediate	
unless	conj.	除非		Intermediate	
unlike	prep.	不像		Intermediate	
unload	verb	卸貨、推卸責任		High-Intermediate	
unlock	verb	開鎖、揭開		High-Intermediate	
unpack	verb	打開(包裹、行李)、取出東西		High-Intermediate	
unprecedented	adj.	前所未有的、空前的		High-Intermediate	
unrest	noun	動盪、騷動		High-Intermediate	
until	conj./prep.	直到	= till	Elementary	
untouched	adj.	未動過的、未受影響的		Intermediate	
unusual	adj.	不尋常的、特別的		Intermediate	
unusually	adv.	特別地、非常、不尋常地		High-Intermediate	
unveil	verb	揭幕、首次公開		High-Intermediate	
unwanted	adj.	多餘的、意外的		High-Intermediate	
up	adv./prep./adj.	向上；在…上面；向上的		Elementary	
up	verb	增加、起身離開		High-Intermediate	
upbringing	noun	撫育、教育		High-Intermediate	
update	verb/noun	使現代化、更新、為…補充最新資料；最新的情況		High-Intermediate	
upgrade	verb/noun	使升級、提升；升級、上坡		High-Intermediate	
uphold	verb	維護(正義)、維持(判決)		High-Intermediate	
upload	verb	上傳、上載		Elementary	
upon	prep.	在…之上、在…後立即		Elementary	
upper	adj.	上面的、上部的		Elementary	
upright	adj./noun	挺直的、正直的；立柱		High-Intermediate	
uprising	noun	起義、暴動		High-Intermediate	
upset	adj./noun/verb	苦惱的；混亂；擾亂、惹惱		Intermediate	
upstairs	adv./adj./noun	在樓上；樓上的；樓上		Elementary	
up-to-date	adj.	最新(式)的、現代的、尖端的	= up to date	High-Intermediate	
upward 	adj.	向上的		Intermediate	
uranium	noun	鈾		High-Intermediate	
urban	adj.	都市的、城鎮的		Intermediate	
urge	verb/noun	敦促、強烈主張；衝動		Intermediate	
urgency	noun	迫切(的樣子)、急迫、緊急(性)		High-Intermediate	
urgent	adj.	緊急的		Intermediate	
urine	noun	尿、小便		High-Intermediate	
us	pron.	我們		Elementary	
USA	noun	美國	= United States (of America) 	Elementary	
usage	noun	使用、用法		Intermediate	
use	verb/noun	使用		Elementary	
used 	adj.	二手的、習慣的		Elementary	
used 	verb	過去慣常		Elementary	
useful	adj.	有用的		Elementary	
useless	adj.	無用的		Intermediate	
user	noun	使用者		Elementary	
usher	noun/verb	引座員、(婚禮)招待；引導、開創		High-Intermediate	
usual	adj.	通常的		Elementary	
usually	adv.	通常		Elementary	
utensil	noun	(家庭)用具、器皿		High-Intermediate	
utility	noun	效用、公共事業(水、電、瓦斯等)		High-Intermediate	
utility	adj.	多用途的、多功能的		High-Intermediate	
utilize	verb	使用、利用		High-Intermediate	
utmost	adj./noun	最大的、極度的；最大量、極限、最大可能		High-Intermediate	
utter	verb	出聲		High-Intermediate	
utter	adj.	十足的		High-Intermediate	
vacancy	noun	空缺、空房		High-Intermediate	
vacant	adj.	空的、未被佔用的		Intermediate	
vacation	noun/verb	假期；度假		Elementary	
vaccine	noun	疫苗、痘苗		High-Intermediate	
vacuum	noun/verb	真空、真空吸塵器；用吸塵器吸		High-Intermediate	
vague	adj.	模糊的、粗略的		Intermediate	
vain	adj.	徒勞的、虛榮的		Intermediate	
Valentine's Day	noun	情人節		Elementary	
valiant	adj.	勇敢的、堅定的		High-Intermediate	
valid	adj.	有效的、合理的		High-Intermediate	L3
validity	noun	有效、合理		High-Intermediate	
valley	noun	峽谷		Elementary	
valuable	adj.	寶貴的、貴重的		Intermediate	
value	noun/verb	價值；重視		Elementary	
valve	noun	閥、瓣膜		High-Intermediate	
van	noun	廂型車、小貨車		Intermediate	
vanilla	noun	香草、香草香精		High-Intermediate	
vanish	verb	突然消失		Intermediate	
vanity	noun	虛榮心、自負		High-Intermediate	
vapor	noun	水汽、蒸汽	= vapour (British English)	Intermediate	
variable	adj./noun	多變的；可變因素、變數		High-Intermediate	
variation	noun	變異、變更		High-Intermediate	
varied	adj.	各種各樣的、多變的		High-Intermediate	
variety	noun	各種樣式、變化		Intermediate	
various	adj.	各式各樣的		Intermediate	
vary	verb	不同、相異		Intermediate	L1
vase	noun	花瓶		Intermediate	
vast	adj.	廣闊的、大量的		Intermediate	
vegetable	noun/adj.	蔬菜；蔬菜的		Elementary	
vegetarian	adj./noun	素食主義的；素食主義者		Intermediate	
vegetation	noun	植物、植被		High-Intermediate	
vehicle	noun	交通工具		Intermediate	L8
veil	noun	面紗；掩蓋		High-Intermediate	
veil	verb	戴面紗；遮掩、掩飾		High-Intermediate	
vein	noun	靜脈、脈絡		High-Intermediate	
velocity	noun	速度、高速		High-Intermediate	
velvet	noun	絲絨、天鵝絨		High-Intermediate	
vend	verb	販賣、兜售		High-Intermediate	
vendor	noun	小販		Elementary	
vent	noun/verb	通風口；表達、發洩(憤怒)		High-Intermediate	
ventilate	verb	使通風、公開表達		High-Intermediate	
venture	noun/verb	冒險		Intermediate	
venue	noun	集會場所、舉辦地點		High-Intermediate	
verb	noun	動詞		Intermediate	
verbal	adj.	關於言詞的、口頭的		High-Intermediate	
verdict	noun	判決、結論		High-Intermediate	
verge	verb	瀕臨		High-Intermediate	
verge	noun	邊緣；路肩		High-Intermediate	
verify	verb	核實、證明		High-Intermediate	
versatile	adj.	多才多藝的、多功能的		High-Intermediate	
verse	noun	韻文、詩節		Intermediate	
version	noun	版本、說法		Intermediate	L5
versus	prep.	對抗、…與…對比	= vs.	High-Intermediate	
vertical	adj./noun	垂直的；縱軸		High-Intermediate	
very 	adv.	非常、很		Elementary	
very 	adj.	(加強語氣)正是、完全的		Elementary	
vessel	noun	船艦		Intermediate	
vest	noun	背心		Elementary	
veteran	noun	老手、老兵、退伍軍人		High-Intermediate	
veterinarian	noun	獸醫	= vet	High-Intermediate	
veto	verb/noun	反對；否決權		High-Intermediate	
via	prep.	經由、通過		High-Intermediate	L8
viable	adj.	可實行的、能獨立生存的		High-Intermediate	
vibrate	verb	震動、顫動、擺動		High-Intermediate	
vibration	noun	震動、共鳴、振幅		High-Intermediate	
vicar	noun	(聖公會)牧師		High-Intermediate	
vice	noun	罪行、惡行		High-Intermediate	
vice president	noun	副總統、副總裁		High-Intermediate	
vicinity	noun	週圍地區、附近		High-Intermediate	
vicious	adj.	殘暴的、惡劣的		High-Intermediate	
victim	noun	罹難者、受害者		Intermediate	
victimize	verb	使受害、使受苦		High-Intermediate	
victor	noun	勝利者、獲勝者		High-Intermediate	
victorious	adj.	勝利的、戰勝的		High-Intermediate	
victory	noun	勝利		Elementary	
video	noun/verb	錄影帶、錄影；錄影		Elementary	
view	noun/verb	視野；觀看		Elementary	
viewer	noun	電視觀眾、觀察者		High-Intermediate	
viewpoint	noun	看法、觀點		High-Intermediate	
vigor	noun	精力、活力	= vigour (British English)	Intermediate	
vigorous	adj.	精力充沛的、強健的		Intermediate	
villa	noun	渡假別墅、豪宅		High-Intermediate	
village	noun	村莊		Elementary	
villager	noun	村民、鄉下人		High-Intermediate	
villain	noun	反派主角、壞人		High-Intermediate	
vine	noun	葡萄藤、藤蔓		High-Intermediate	
vinegar	noun	醋		Elementary	
vineyard	noun	葡萄園、釀酒廠		High-Intermediate	
vintage	noun	(特定年分或地方)釀造的酒、釀造年分		High-Intermediate	
vintage	adj.	(尤指過去某個時期)最典型的、優質的		High-Intermediate	
vinyl	noun	黑膠唱片		High-Intermediate	
violate	verb	違反、侵犯		Intermediate	L9
violation	noun	違反、侵犯		Intermediate	
violence	noun	暴力、猛烈		Intermediate	
violent	adj.	暴力的、猛烈的		Intermediate	
violet	noun/adj.	紫羅蘭；紫羅蘭色的		Intermediate	
violin	noun	小提琴		Elementary	
violinist	noun	小提琴手		Intermediate	
virgin	noun/adj.	處女；處女的、未開發的		Intermediate	
virtual	adj.	(透過電腦)虛擬的		High-Intermediate	L8
virtually	adv.	差不多、事實上		High-Intermediate	L8
virtue	noun	美德、長處		Intermediate	
virus	noun	病毒		Intermediate	
visa	noun	(護照)簽證		High-Intermediate	
visible	adj.	可見的		Intermediate	L7
vision	noun	視力、眼光、憧憬		Intermediate	L9
visit	verb/noun	拜訪		Elementary	
visitor	noun	參觀者、 遊客		Elementary	
visual	adj.	視覺的		Intermediate	L8
visualize	verb	視覺化、想像		High-Intermediate	
vital	adj.	必不可少的、生氣勃勃的		Intermediate	
vitality	noun	生命力		High-Intermediate	
vitamin	noun	維他命		Intermediate	
vivid	adj.	鮮明的、有生氣的		Intermediate	
vocabulary	noun	詞彙		Elementary	
vocal	adj./noun	嗓音的、直言不諱的；聲樂作品		High-Intermediate	
vocation	noun	天職、職業		High-Intermediate	
vocational	adj.	職業的、職業技術的		High-Intermediate	
vogue	noun	流行、時髦		High-Intermediate	
voice	noun	聲音		Elementary	
void	noun	空虛感		High-Intermediate	
void	adj.	缺乏...的；無效的、不合法的		High-Intermediate	
void	verb	使空出；使無效、作廢		High-Intermediate	
volatile	adj.	易變的、不穩的		High-Intermediate	
volcano	noun	火山		Intermediate	
volleyball	noun	排球		Elementary	
volt	noun	伏特(電壓單位)		High-Intermediate	
voltage	noun	電壓		High-Intermediate	
volume	noun	音量；冊	= vol.	Elementary	L3
voluntary	adj.	志願的、自願的		Intermediate	L7
volunteer	noun/verb	義工；自願		Intermediate	
vomit	verb/noun	嘔吐；嘔吐(物)		High-Intermediate	
vote	noun/verb	(選)票；投票、選舉		Elementary	
voter	noun	選民		Elementary	
voucher	noun	代幣、優惠券		High-Intermediate	
vow	verb/noun	發誓；誓言		High-Intermediate	
vowel	noun	母音		Intermediate	
voyage	noun/verb	航行		Intermediate	
vulgar	adj.	粗俗的、下流的		High-Intermediate	
vulnerable	adj.	易受傷的、易受攻擊的		High-Intermediate	
wade	verb/noun	跋涉、介入		High-Intermediate	
wag	verb/noun	搖(尾巴)、搖頭(手指)表示反對；擺動		High-Intermediate	
wage	noun	工資		Intermediate	
wage	verb	發動、進行		Intermediate	
wagon	noun	(運貨)馬車		Intermediate	
wail	noun/verb	哭叫聲、哀號；(因悲傷或疼痛)哭號		High-Intermediate	
waist	noun	腰		Elementary	
wait	verb	等待		Elementary	
waiter	noun	服務生		Elementary	
waitress	noun	女服務生		Elementary	
wake	verb	醒		Elementary	
waken	verb	醒來、喚醒		Intermediate	
walk	verb/noun	步行		Elementary	
wall	noun	牆		Elementary	
wallet	noun	錢包		Elementary	
wallpaper	noun/verb	壁紙；貼壁紙		High-Intermediate	
walnut	noun	核桃、核桃樹		High-Intermediate	
waltz	noun/verb	華爾茲舞；跳華爾茲舞		Intermediate	
wander	verb/noun	遊蕩、閒逛		Intermediate	
want	verb	想要		Elementary	
war	noun	戰爭		Elementary	
ward	noun/verb	病房；避免		Intermediate	
wardrobe	noun	衣櫥、全部衣物		High-Intermediate	
ware	noun	用某材料製造的物品、小販出售的物品		High-Intermediate	
warehouse	noun/verb	倉庫；把...存入倉庫		High-Intermediate	
warfare	noun	戰爭		Intermediate	
warm	adj./verb	溫暖的；加熱		Elementary	
warmth	noun	溫暖、熱情		Intermediate	
warn	verb	警告、提醒注意		Intermediate	
warning	adj.	警告的、警戒的		Intermediate	
warrant	verb/noun	使有必要；正當的理由、執行令		High-Intermediate	
warranty	noun	(商品)保修期		High-Intermediate	
warring	adj.	戰爭的、敵對的		High-Intermediate	
warrior	noun	武士、戰士		High-Intermediate	
warship	noun	軍艦		Intermediate	
wartime	noun	戰時、戰爭時代		High-Intermediate	
wary	adj.	小心的、謹慎的		High-Intermediate	
wash	verb	洗		Elementary	
washing	noun	洗(或待洗)的衣物		Intermediate	
waste	noun/verb	浪費		Elementary	
watch 	noun	錶		Elementary	
watch 	verb	看、注意		Elementary	
watchman	noun	巡夜者、夜間警衛		Intermediate	
